"binLow","binHigh","CountsL","Counts","Treatment"
0,1,0,1.4914376054882107e-16,"not folded"
1,2,1.4914376054882107e-16,2.306436508813657e-10,"not folded"
2,3,2.306436508813657e-10,3.624633162847542e-7,"not folded"
3,4,3.624633162847542e-7,0.000033957921484249474,"not folded"
4,5,0.000033957921484249474,0.0006697796314240994,"not folded"
5,6,0.0006697796314240994,0.004857212621975286,"not folded"
6,7,0.004857212621975286,0.017502465138533877,"not folded"
7,8,0.017502465138533877,0.03766104376230538,"not folded"
8,9,0.03766104376230538,0.054665265216452735,"not folded"
9,10,0.054665265216452735,0.05862910907764882,"not folded"
10,11,0.05862910907764882,0.05122412342062095,"not folded"
11,12,0.05122412342062095,0.043505733963114225,"not folded"
12,13,0.043505733963114225,0.04627414701703906,"not folded"
13,14,0.04627414701703906,0.06251598489274708,"not folded"
14,15,0.06251598489274708,0.08584358739503349,"not folded"
15,16,0.08584358739503349,0.10493718656065172,"not folded"
16,17,0.10493718656065172,0.11075935455898576,"not folded"
17,18,0.11075935455898576,0.10134812420867441,"not folded"
18,19,0.10134812420867441,0.081354806319512,"not folded"
19,20,0.081354806319512,0.05800670509505846,"not folded"
20,21,0.05800670509505846,0.03715461407796065,"not folded"
21,22,0.03715461407796065,0.021592770879859672,"not folded"
22,23,0.021592770879859672,0.011485252185183736,"not folded"
23,24,0.011485252185183736,0.005633937368243438,"not folded"
24,25,0.005633937368243438,0.0025658033015594594,"not folded"
25,26,0.0025658033015594594,0.0010912734122323284,"not folded"
26,27,0.0010912734122323284,0.00043572332079827754,"not folded"
27,28,0.00043572332079827754,0.0001640870671096524,"not folded"
28,29,0.0001640870671096524,0.00005852339714741482,"not folded"
29,30,0.00005852339714741482,0.000019842513706209716,"not folded"
0,1,0,0.0000694701821591076,"folded"
1,2,0.0000694701821591076,0.00039731832675879143,"folded"
2,3,0.00039731832675879143,0.0015816379830749896,"folded"
3,4,0.0015816379830749896,0.004562663933080892,"folded"
4,5,0.004562663933080892,0.009915867750793436,"folded"
5,6,0.009915867750793436,0.0168619342419538,"folded"
6,7,0.0168619342419538,0.023351165850003665,"folded"
7,8,0.023351165850003665,0.0276531229868375,"folded"
8,9,0.0276531229868375,0.029947395673102856,"folded"
9,10,0.029947395673102856,0.03222641331877818,"folded"
10,11,0.03222641331877818,0.03659704395764688,"folded"
11,12,0.03659704395764688,0.043521930892529495,"folded"
12,13,0.043521930892529495,0.05134897541774702,"folded"
13,14,0.05134897541774702,0.0572830413685286,"folded"
14,15,0.0572830413685286,0.05895255860128589,"folded"
15,16,0.05895255860128589,0.05553302577381745,"folded"
16,17,0.05553302577381745,0.047899544628311266,"folded"
17,18,0.047899544628311266,0.037971297879984794,"folded"
18,19,0.037971297879984794,0.02779832226352233,"folded"
19,20,0.02779832226352233,0.018888225125149604,"folded"
20,21,0.018888225125149604,0.011969025341035904,"folded"
21,22,0.011969025341035904,0.0071050407870384075,"folded"
22,23,0.0071050407870384075,0.003967400420510427,"folded"
23,24,0.003967400420510427,0.002091795652918591,"folded"
24,25,0.002091795652918591,0.0010449833063616845,"folded"
25,26,0.0010449833063616845,0.0004961953453361289,"folded"
26,27,0.0004961953453361289,0.00022460064506719146,"folded"
27,28,0.00022460064506719146,0.00009717235839065645,"folded"
28,29,0.00009717235839065645,0.000040282216606813843,"folded"
29,30,0.000040282216606813843,0.000016036312317687168,"folded"
